,0
Condition1_Artery,0.00034496400163165305
BsmtFinType1_Rec,0.0003410075922825557
Neighborhood_NridgHt,0.0003393791128805895
HouseStyle_1Story,0.00033089758803646666
GarageCond_TA,0.00032857864973796205
BldgType_TwnhsE,0.0003248213545582515
Neighborhood_IDOTRR,0.00032247046942724913
Electrical_SBrkr,0.0003139352992938606
SaleType_New,0.000304042767533521
Foundation_CBlock,0.00029302414849725265
BsmtExposure_Mn,0.0002926362637390588
Condition2_Norm,0.0002842368049610541
GarageQual_Fa,0.00027592895027850524
Neighborhood_ClearCr,0.00027586984232292987
ExterCond_Gd,0.00027527168404255724
ExterCond_Fa,0.0002721539007124208
GarageQual_Ex,0.00027032510712130594
Exterior2nd_Wd Sdng,0.00026009017689172906
3SsnPorch,0.00025956755053405497
PavedDrive_N,0.00025863136269627026
HouseStyle_1.5Fin,0.0002568339971252844
BsmtCond_TA,0.00025341221427730364
LotConfig_CulDSac,0.00025318615621076137
BsmtQual_Fa,0.00025281105528497395
Neighborhood_NAmes,0.00024888606624211843
BsmtCond_Fa,0.00024677308365061794
Neighborhood_BrkSide,0.0002437483080981373
BsmtFinType2_BLQ,0.00024096177457831413
LotShape_IR3,0.00022773804374564047
Exterior2nd_BrkFace,0.0002189879941605693
GarageType_BuiltIn,0.00021536165095812317
BsmtFinType1_LwQ,0.0002147756753648231
Heating_GasA,0.00021422548305382179
GarageQual_TA,0.0002093759348566839
RoofStyle_Gambrel,0.00020570926202770294
Foundation_BrkTil,0.00020404325121682309
BsmtFinType1_BLQ,0.00019679316463851868
KitchenQual_Fa,0.00019406708670320348
Condition1_Feedr,0.0001932439842430124
Exterior2nd_Plywood,0.00018898405054220435
MSZoning_FV,0.0001773463898151746
PavedDrive_Y,0.00017704330413639035
BldgType_Duplex,0.00016755960927748712
Electrical_FuseA,0.0001664187699133141
Exterior1st_Plywood,0.00016467241852340147
BsmtCond_Gd,0.00016394549110405144
Neighborhood_Mitchel,0.00015470677690107825
Functional_Min2,0.00014987442027566717
Neighborhood_NWAmes,0.00014142648425124465
BsmtFinType2_Unf,0.00014098460144319994
Neighborhood_Timber,0.0001358871461609132
RoofMatl_ClyTile,0.000133134685586002
Neighborhood_Gilbert,0.00012844988122867054
BsmtFinType2_GLQ,0.000125154864446168
MiscVal,0.0001250780495171886
LowQualFinSF,0.00012499341193865064
SaleType_CWD,0.00012110284863881996
Functional_Maj1,0.00012043599913523172
GarageCond_Fa,0.00011902008132303569
Condition2_PosN,0.00011815486466030976
Condition1_PosN,0.0001162420163001453
GarageType_Basment,0.00011346318672859683
Exterior1st_Stucco,0.00010792037564365504
Neighborhood_SawyerW,0.000102511376167234
MasVnrType_BrkCmn,0.00010177403514209262
Condition1_PosA,9.547012357012376e-05
Neighborhood_Sawyer,9.352229989607655e-05
LandSlope_Sev,8.975529615387407e-05
LotConfig_FR2,8.906283243565126e-05
PavedDrive_P,8.876778531756415e-05
LandContour_Low,8.689156119427336e-05
Neighborhood_SWISU,8.62541680604547e-05
Functional_Mod,8.536724840319574e-05
HeatingQC_Fa,7.771995407229242e-05
Functional_Maj2,7.516459297916005e-05
Exterior2nd_ImStucc,7.142148525023552e-05
Foundation_Stone,7.141134167348838e-05
BldgType_Twnhs,7.029560934563244e-05
Exterior2nd_Stucco,6.993159817354644e-05
Electrical_FuseF,6.404094683780185e-05
HouseStyle_2.5Fin,6.150142188477068e-05
Neighborhood_BrDale,6.0036522966245855e-05
HouseStyle_SLvl,5.8557983827008666e-05
Exterior2nd_AsbShng,5.6455101099346506e-05
BsmtFinType2_ALQ,5.5533836174132984e-05
BldgType_2fmCon,5.2486108093473326e-05
Neighborhood_Veenker,4.785743099650426e-05
Exterior2nd_Wd Shng,4.741190225395812e-05
ExterQual_Fa,4.534399075618668e-05
BsmtFinType2_LwQ,4.414144484338557e-05
BsmtFinType2_Rec,4.3247221954957324e-05
SaleCondition_Alloca,4.2917445956224113e-05
RoofMatl_Membran,4.118545070300718e-05
Exterior1st_WdShing,4.090514472820903e-05
Exterior1st_AsbShng,3.922319776943079e-05
GarageQual_Gd,3.85805149997172e-05
SaleType_COD,3.836382709780402e-05
Condition1_RRAn,3.6157769399634396e-05
LotConfig_FR3,3.441937872348254e-05
Neighborhood_MeadowV,3.357476944449427e-05
Street_Grvl,3.0284346703956926e-05
GarageCond_Po,2.4232343504986782e-05
RoofStyle_Mansard,2.100678371729555e-05
HouseStyle_2.5Unf,2.078877531863266e-05
Exterior2nd_Stone,2.0471961848238536e-05
Functional_Min1,1.7589563089299106e-05
GarageType_CarPort,1.6524314711209844e-05
Exterior1st_Stone,1.586022895519943e-05
ExterCond_Ex,1.5408271306128688e-05
Condition2_Feedr,1.537770437411176e-05
HouseStyle_1.5Unf,1.5216886869584107e-05
Neighborhood_NPkVill,1.4466709581167516e-05
SaleType_ConLI,1.4141531611533022e-05
RoofStyle_Flat,1.2929312887330792e-05
Heating_OthW,1.1656982739248379e-05
BsmtCond_Po,1.027800213046923e-05
Condition1_RRNn,1.0217327733467957e-05
GarageQual_Po,9.431831746769866e-06
Neighborhood_Blmngtn,8.861125867184934e-06
RoofMatl_Tar&Grv,8.18851330140467e-06
Exterior2nd_Brk Cmn,7.695992400386447e-06
GarageCond_Gd,7.500976766607822e-06
Condition1_RRAe,6.948746045289111e-06
SaleCondition_AdjLand,6.79306506559119e-06
Exterior1st_CBlock,6.4997255849375455e-06
Exterior2nd_Other,6.1588352532973315e-06
